entity,period,statement,lines_compared,lines_tying,lines_off,pct_tying,total_absolute_difference,largest_difference,dbt_income_or_assets,client_income_or_assets,dbt_expense_or_eandl,client_expense_or_eandl,income_or_assets_difference,expense_or_eandl_difference
C&P,2026-02,SCI,21,21,0,100.0,0.0,0.0,8122126.83,8122126.83,3644209.32,3644209.32,0.0,0.0
C&P,2026-02,SFP,25,23,2,92.0,2086771.36,1043385.68,169612256.06,169612256.06,169612255.06,169612256.05,0.0,-0.99
C&P,2026-03,SCI,21,19,2,90.5,99624.4,49812.2,12233002.44,12233002.44,6228239.2,6228239.2,0.0,0.0
C&P,2026-03,SFP,25,23,2,92.0,1391181.2,695590.6,170882860.12,170882860.12,170882859.12,170882860.12,0.0,-1.0
C&P,2026-04,SCI,21,19,2,90.5,222977.5,111488.75,16772409.07,16772409.07,8368857.79,8368857.8,0.0,-0.01
C&P,2026-04,SFP,25,23,2,92.0,695591.04,347795.52,173454709.23,173454709.24,173454708.24,173454709.24,-0.01,-1.0
C&P,2026-05,SCI,21,21,0,100.0,0.0,0.0,21312656.52,21312656.52,10158360.49,10158360.49,0.0,0.0
C&P,2026-05,SFP,25,25,0,100.0,0.0,0.0,177496410.13,177496410.13,177496409.13,177496410.13,0.0,-1.0
C&P,2026-06,SCI,21,20,1,95.2,2626573.05,2626573.05,25436462.64,25436462.64,13952437.91,11325864.86,0.0,2626573.05
C&P,2026-06,SFP,26,26,0,100.0,0.0,0.0,184083004.21,184083004.21,184083003.21,184083004.21,0.0,-1.0
DRC,2026-02,SCI,20,20,0,100.0,0.0,0.0,7598108.07,7598108.07,13706563.16,13706563.17,0.0,-0.01
DRC,2026-02,SFP,24,20,4,83.3,252.48,184.17,75577152.39,75577158.75,75576915.68,75577158.75,-6.36,-243.07
DRC,2026-03,SCI,20,20,0,100.0,0.0,0.0,18090512.88,18090512.88,21563223.57,21563223.58,0.0,-0.01
DRC,2026-03,SFP,24,23,1,95.8,16200.85,16200.85,72112163.45,72112163.46,72128364.31,72112163.45,-0.01,16200.86
DRC,2026-04,SCI,20,20,0,100.0,0.0,0.0,22791627.94,22791627.94,29342939.73,29342939.75,0.0,-0.02
DRC,2026-04,SFP,24,23,1,95.8,5954.01,5954.01,70122724.57,70122724.56,70116770.56,70122724.57,0.01,-5954.01
DRC,2026-05,SCI,20,20,0,100.0,0.0,0.0,25057589.19,25057589.19,35479913.74,35479913.73,0.0,0.01
DRC,2026-05,SFP,24,23,1,95.8,16921.97,16921.97,63025055.44,63025055.45,63041977.42,63025055.44,-0.01,16921.98
DRC,2026-06,SCI,20,20,0,100.0,0.0,0.0,41801336.38,41801336.38,41782231.51,41782231.52,0.0,-0.01
DRC,2026-06,SFP,25,24,1,96.0,20.16,20.16,66724371.25,66724371.71,66724351.55,66724371.72,-0.46,-20.17
MALAWI,2026-02,SCI,21,21,0,100.0,0.0,0.0,38192955.08,38192955.06,25056733.55,25056733.52,0.02,0.03
MALAWI,2026-02,SFP,24,23,1,95.8,10540.82,10540.82,172940238.08,172940238.02,172929697.25,172940238.01,0.06,-10540.76
MALAWI,2026-03,SCI,21,21,0,100.0,0.0,0.0,56174293.42,56174293.39,35558994.75,35558994.71,0.03,0.04
MALAWI,2026-03,SFP,24,23,1,95.8,130701.82,130701.82,191334466.23,191334466.09,191203764.39,191334466.11,0.14,-130701.72
MALAWI,2026-04,SCI,21,21,0,100.0,0.0,0.0,74753385.26,74753385.21,47907898.49,47907898.45,0.05,0.04
MALAWI,2026-04,SFP,24,23,1,95.8,14510.76,14510.76,191205699.56,191205699.5,191220210.31,191205699.49,0.06,14510.82
